# Site          StartTime     WallTime     CPUtime         Files   PercRead
T2_US_MIT 1411318643 55165 18895 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/C26F15F4-3127-E211-8DB0-00A0D1EEF364.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/42FEBAE5-3127-E211-817B-00266CFAE24C.root 100
T2_US_MIT 1411318644 29096 14 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/66032135-641B-E211-A303-00A0D1EEFF18.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/3AE6F1A7-4B1B-E211-8115-00A0D1EEE0C0.root 100
T2_US_UCSD 1411318645 31694 29273 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/143D1549-3127-E211-B698-848F69FD299D.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/02214844-3127-E211-8166-848F69FD2931.root 100
T2_US_MIT 1411318645 35882 18 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/323C9E93-3127-E211-AEF8-0024E86E8CF1.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/42FEBAE5-3127-E211-817B-00266CFAE24C.root 100
T2_US_Purdue 1411318647 64990 22631 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/9AC422D3-3127-E211-B514-00A0D1EE2990.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/7AB121CB-3127-E211-8E4C-00266CFADD94.root 100
T2_US_Purdue 1411318650 30885 29698 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/AA0F5365-3227-E211-880E-00266CFAE1A8.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/849E0676-3227-E211-9260-848F69FD4ED4.root 100
T2_US_Wisconsin 1411318651 34350 19 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/C484E278-3227-E211-9950-00266CF9C244.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/B08DB885-3227-E211-B355-00A0D1EEF5B4.root 100
T2_US_MIT 1411318653 24829 23547 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/6299AF7A-7B1B-E211-824D-848F69FD2955.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00000/52B747CA-7B1B-E211-902E-00266CF2506C.root 100
T2_US_Wisconsin 1411318654 77803 29814 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/C89A17B7-3127-E211-B0C8-00A0D1EE8AF4.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/CA828E9C-3127-E211-A9F2-00266CF9C1E0.root 100
T2_US_Purdue 1411318655 42429 10 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/8265788A-3227-E211-9D13-0024E86E8D73.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/52D04A96-3227-E211-9096-00266CF9B59C.root 100
T2_US_Purdue 1411318657 40920 22 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/C88C36C3-3227-E211-93DC-008CFA002830.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/6ED1F4E9-3027-E211-A756-00266CFAE464.root 100
T2_US_Purdue 1411318657 41904 20 /store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/7AB121CB-3127-E211-8E4C-00266CFADD94.root,/store/mc/Summer12_DR53X/DYJetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V7A-v1/00001/D2AF49C0-3127-E211-905A-00266CFAE1EC.root 100
